a52dec 0.8.0-2
python-more-itertools 10.1.0-1
python-netifaces 0.11.0-4
python-nose 1.3.7-15
python-oauthlib 3.2.2-2
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pbr 6.0.0-1
python-pillow 10.2.0-1
python-platformdirs 4.1.0-1
python-pluggy 1.4.0-1
python-ply 3.11-12
python-psutil 5.9.7-1
python-pyasn1 0.5.0-1
python-pycparser 2.21-5
python-pydantic 2.5.3-1
python-pydantic-core 1:2.14.6-1
python-pygments 2.17.2-1
python-pyproject-api 1.6.1-1
python-pyrsistent 0.19.3-3
python-pyserial 3.5-5
python-pytz 2023.3.post1-1
python-pywal 3.3.0-8
python-referencing 0.33.0-1
python-requests 2.31.0-1
python-rpds-py 0.17.1-1
python-rsa 4.9-3
python-s3transfer 0.10.0-1
python-setuptools 1:69.0.3-1
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.16-1
python-sphinxcontrib-applehelp 1.0.7-1
python-sphinxcontrib-devhelp 1.0.5-1
python-sphinxcontrib-htmlhelp 2.0.4-1
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.6-1
python-sphinxcontrib-serializinghtml 1.1.9-1
python-tomli 2.0.1-3
python-tox 4.11.4-1
python-trove-classifiers 2024.1.8-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-wheel 0.42.0-1
python-yaml 6.0.1-2
qpdf 11.8.0-1
qrencode 4.1.1-2
qt5-base 5.15.12+kde+r147-1
qt5-declarative 5.15.12+kde+r31-1
qt5-graphicaleffects 5.15.12-1
qt5-location 5.15.12+kde+r6-1
qt5-quickcontrols 5.15.12-1
qt5-quickcontrols2 5.15.12+kde+r5-1
qt5-svg 5.15.12+kde+r6-1
qt5-translations 5.15.12-1
qt5-webchannel 5.15.12+kde+r3-1
qt5-webengine 5.15.16-3
qt5-x11extras 5.15.12-1
qt5ct 1.8-1
qt6-base 6.6.1-3
qt6-svg 6.6.1-1
qt6-translations 6.6.1-1
ranger 1.9.3-9
raptor 2.0.16-4
rav1e 0.7.1-1
readline 8.2.010-1
recode 3.7.14-1
refind 0.14.0.2-2
reflector 2023-1
reiserfsprogs 3.6.27-4
rhash 1.4.4-1
rnnoise 0.4.1-1
rofi 1.7.5-2
rp-pppoe 4.0-1
rpcbind 1.2.6-3
rsync 3.2.7-6
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.5.4-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.7.1-1
ruby-logger 1.5.1-3
ruby-minitest 5.20.0-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
run-parts 5.5-1
rust 1:1.75.0-2
rxvt-unicode-terminfo 9.31-4
sbc 2.0-1
schroedinger 1.0.11-6
screen 4.9.1-1
sddm-git 0.20.0.6.g07631f2-1
sdkmanager 0.6.5-1
sdl2 2.28.5-1
sdparm 1.12-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.4-1
serd 0.32.2-1
sg3_utils 1.47-1
shaderc 2023.7-2
shadow 4.14.3-1
shared-mime-info 2.4-1
simplescreenrecorder 0.4.4-2
slang 2.3.3-2
slop 7.6-4
smartmontools 7.4-1
smbclient 4.19.4-1
snappy 1.1.10-1
sndio 1.9.0-1
sof-firmware 2023.12-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
spotify 1:1.2.26.1187-1
sqlite 3.45.0-1
squashfs-tools 4.6.1-1
sratom 0.6.16-1
srt 1.5.3-1
sshfs 3.7.3-1
sstp-client 1:1.0.19-1
startup-notification 0.12-8
steam 1.0.0.78-2
stoken 0.92-4
strongswan 5.9.13-1
sudo 1.9.15.p5-1
svt-av1 1.8.0-1
svt-hevc 1.5.1-2
sxhkd 0.6.2-3
sysfsutils 2.1.1-1
systemd 255.3-1
systemd-libs 255.3-1
systemd-resolvconf 255.3-1
systemd-sysvcompat 255.3-1
taglib 2.0-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tcpdump 4.99.4-1
tdb 1.4.9-1
teamviewer 15.49.2-1
terminus-font 4.49.1-6
termius 8.9.1-1
tevent 1:0.15.0-1
texinfo 7.1-2
thin-provisioning-tools 1.0.10-1
thunar 4.18.10-1
thunar-archive-plugin 0.5.2-1
thunar-media-tags-plugin 0.4.0-2
thunar-volman 4.18.0-1
timeshift 23.07.1-1
tint2 17.0.2-3
tmux 3.3_a-7
tpm2-tss 4.0.1-1
tracker3 3.6.0-3
trash-cli 0.23.11.10-1
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-font-awesome 6.5.1-1
tumbler 4.18.2-1
twolame 0.4.0-3
tzdata 2023d-1
uchardet 0.0.8-2
udftools 2.3-1
udisks2 2.10.1-2
ueberzug 18.2.2-1
unarchiver 1.10.8-1
unibilium 2.1.1-1
unimatrix-git r71.65793c2-1
unrar 1:6.2.12-1
unzip 6.0-20
upd72020x-fw 20200826-3
upower 1.90.2-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-3
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vapoursynth R65-1
vid.stab 1.1.1-1
viewnior 1.8-5
vim 9.1.0000-1
vim-runtime 9.1.0000-1
visual-studio-code-bin 1.85.1-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vpnc 1:0.5.3.r526.r213-1
vte-common 0.74.2-1
vte3 0.74.2-1
vulkan-headers 1:1.3.276-1
vulkan-icd-loader 1.3.276-1
vulkan-radeon 1:23.3.4-2
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.33-1
wd719x-firmware 1-7
webkit2gtk 2.42.4-2
webkit2gtk-4.1 2.42.4-2
webrtc-audio-processing 0.3.1-4
webrtc-audio-processing-1 1.3-2
wezterm-terminfo 20240128.202157.1e552d76-1
wget 1.21.4-1
whatscli 1.0.11-1
which 2.21-6
whois 5.5.20-1
wildmidi 0.4.5-2
wine 9.1-1
wine-mono 8.1.0-1
winetricks 20240105-1
wireless-regdb 2023.09.01-1
wireless_tools 30.pre9-3
wireplumber 0.4.17-1
wlroots 0.17.1-1
wmctrl 1.07-6
wmname 0.1-5
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wvdial 1.61-9
wvstreams 4.6.1-21
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xapp 2.8.2-1
xarchiver 0.5.4.22-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xcolor 0.5.1-3
xdg-dbus-proxy 0.1.5-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.2.0r28+g9b7d253-1
xdotool 3.20211022.1-1
xf86-input-libinput 1.4.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xf86-video-fbdev 0.5.0-3
xf86-video-vesa 2.6.0-1
xfce-polkit 0.3-1
xfce4-notifyd 0.9.3-1
xfce4-power-manager 4.18.3-1
xfce4-settings 4.18.4-1
xfce4-terminal 1.1.1-2
xfconf 4.18.3-1
xfsprogs 6.5.0-2
xkeyboard-config 2.40-1
xl2tpd 1.3.18-1
xmlsec 1.2.39-1
xmlstarlet 1.6.1-3
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.11-1
xorg-server-common 21.1.11-1
xorg-server-devel 21.1.11-1
xorg-server-xephyr 21.1.11-1
xorg-server-xnest 21.1.11-1
xorg-server-xvfb 21.1.11-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.20.0-2
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.4-2
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2023.2-1
xplc 0.3.13-10
xsettingsd 1.0.2-1
xvidcore 1.3.7-2
xwinwrap-git r20.539fc47-1
xxhash 0.8.2-1
xz 5.4.6-1
yad 13.0-2
yajl 2.1.0-5
yarn 1.22.21-1
yay 12.2.0-1
zathura 0.5.4-2
zathura-pdf-poppler 0.3.2-2
zbar 0.23.90-3
zenity 4.0.1-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-1
zsh 5.9-4
zsh-autosuggestions 0.7.0-2
zsh-syntax-highlighting 0.8.0-1
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
zziplib 0.13.72-2
